angIn,angOut,angRef,angD,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angD2Deg,angD2DegCorr,rainbowNo
0.276979584480793,0.952491517719974,0.204911850366794,0.675511933239181,4,450,#0033FF,15.87,54.574,191.741,38.704,141.296,2
0.276979584480793,0.956624367154129,0.205600658605821,0.679644782673336,4,500,#00FF80,15.87,54.811,191.78,38.941,141.059,2
0.276979584480793,0.959892443658247,0.206145338023174,0.682912859177454,4,550,#92FF00,15.87,54.998,191.811,39.128,140.872,2
0.276979584480793,0.962576342158643,0.206592654439906,0.685596757677849,4,600,#FFB100,15.87,55.152,191.837,39.282,140.718,2
0.276979584480793,0.964846464024794,0.206971008084264,0.687866879544001,4,650,#F60000,15.87,55.282,191.859,39.412,140.588,2
0.276979584480793,0.966671888131242,0.20727524543534,0.689692303650449,4,700,#A20000,15.87,55.386,191.876,39.516,140.484,2
0.284894408161728,0.973656747909859,0.20975852601193,0.688762339748131,4,400,#5B0088,16.323,55.786,192.018,39.463,140.537,2
0.284894408161728,0.979275253279441,0.210694943573528,0.694380845117713,4,450,#0033FF,16.323,56.108,192.072,39.785,140.215,2
0.284894408161728,0.983528235248271,0.211403773901668,0.698633827086544,4,500,#00FF80,16.323,56.352,192.113,40.029,139.971,2
0.284894408161728,0.98689133281437,0.211964290162683,0.701996924652642,4,550,#92FF00,16.323,56.545,192.145,40.221,139.779,2
0.284894408161728,0.989653283990555,0.212424615358714,0.704758875828827,4,600,#FFB100,16.323,56.703,192.171,40.38,139.62,2
0.284894408161728,0.991989437078713,0.212813974206741,0.707095028916985,4,650,#F60000,16.323,56.837,192.193,40.514,139.486,2
0.284894408161728,0.993867965391856,0.213127062258931,0.708973557230128,4,700,#A20000,16.323,56.944,192.211,40.621,139.379,2
0.292809331031987,1.00024443091273,0.215508960324118,0.707435099880737,4,400,#5B0088,16.777,57.31,192.348,40.533,139.467,2
0.292809331031987,1.00602180687908,0.21647185631851,0.713212475847091,4,450,#0033FF,16.777,57.641,192.403,40.864,139.136,2
0.292809331031987,1.01039509160086,0.217200737105474,0.717585760568874,4,500,#00FF80,16.777,57.891,192.445,41.115,138.885,2
0.292809331031987,1.01385334706422,0.217777113016034,0.72104401603223,4,550,#92FF00,16.777,58.09,192.478,41.313,138.687,2
0.292809331031987,1.01669346477259,0.218250465967431,0.723884133740606,4,600,#FFB100,16.777,58.252,192.505,41.476,138.524,2
0.292809331031987,1.01909574643145,0.218650846243905,0.726286415399462,4,650,#F60000,16.777,58.39,192.528,41.613,138.387,2
0.292809331031987,1.0210274579269,0.218972798159814,0.728218126894911,4,700,#A20000,16.777,58.501,192.546,41.724,138.276,2
0.300724356490513,1.02679355857212,0.221252985843772,0.726069202081608,4,400,#5B0088,17.23,58.831,192.677,41.601,138.399,2
0.300724356490513,1.03273003066204,0.22224239785876,0.732005674171528,4,450,#0033FF,17.23,59.171,192.734,41.941,138.059,2
0.300724356490513,1.03722379261371,0.222991358184037,0.736499436123198,4,500,#00FF80,17.23,59.429,192.776,42.198,137.802,2
0.300724356490513,1.04077734625004,0.223583617123426,0.740052989759532,4,550,#92FF00,17.23,59.632,192.81,42.402,137.598,2
0.300724356490513,1.04369574722085,0.224070017285228,0.742971390730336,4,600,#FFB100,17.23,59.799,192.838,42.569,137.431,2
0.300724356490513,1.04616425726413,0.224481435625774,0.745439900773621,4,650,#F60000,17.23,59.941,192.862,42.711,137.289,2
0.300724356490513,1.0481492329225,0.224812264902169,0.747424876431983,4,700,#A20000,17.23,60.055,192.881,42.824,137.176,2
0.308639487994711,1.05330296789917,0.226990409315648,0.744663479904461,4,400,#5B0088,17.684,60.35,193.006,42.666,137.334,2
0.308639487994711,1.05939876704644,0.228006375840191,0.750759279051724,4,450,#0033FF,17.684,60.699,193.064,43.015,136.985,2
0.308639487994711,1.06401318491774,0.228775445485408,0.75537369692303,4,500,#00FF80,17.684,60.963,193.108,43.28,136.72,2
0.308639487994711,1.0676621804078,0.229383611400418,0.759022692413094,4,550,#92FF00,17.684,61.173,193.143,43.489,136.511,2
0.308639487994711,1.07065898421668,0.229883078701897,0.762019496221964,4,600,#FFB100,17.684,61.344,193.171,43.661,136.339,2
0.308639487994711,1.07319382489949,0.230305552149032,0.764554336904779,4,650,#F60000,17.684,61.489,193.196,43.806,136.194,2
0.308639487994711,1.07523214768764,0.230645272613726,0.76659265969293,4,700,#A20000,17.684,61.606,193.215,43.923,136.077,2
0.316554729062871,1.0797714859466,0.232721035834912,0.763216756883725,4,400,#5B0088,18.137,61.866,193.334,43.729,136.271,2
0.316554729062871,1.08602684842658,0.233763596248243,0.769472119363707,4,450,#0033FF,18.137,62.225,193.394,44.088,135.912,2
0.316554729062871,1.09076210507197,0.23455280568914,0.774207376009098,4,500,#00FF80,18.137,62.496,193.439,44.359,135.641,2
0.316554729062871,1.09450668946442,0.235176903087883,0.777951960401552,4,550,#92FF00,18.137,62.711,193.475,44.573,135.427,2
0.316554729062871,1.09758201850247,0.235689457927558,0.781027289439599,4,600,#FFB100,18.137,62.887,193.504,44.75,135.25,2
0.316554729062871,1.10018329449642,0.236123003926548,0.783628565433547,4,650,#F60000,18.137,63.036,193.529,44.899,135.101,2
0.316554729062871,1.10227504934779,0.236471629735109,0.785720320284914,4,700,#A20000,18.137,63.156,193.549,45.018,134.982,2
0.324470083276629,1.10619792951029,0.238444668797821,0.781727846233663,4,400,#5B0088,18.591,63.38,193.662,44.79,135.21,2
0.324470083276629,1.11261309687134,0.239513863357996,0.788143013594716,4,450,#0033FF,18.591,63.748,193.723,45.157,134.843,2
0.324470083276629,1.11746937925951,0.240323243756022,0.792999295982879,4,500,#00FF80,18.591,64.026,193.77,45.436,134.564,2
0.324470083276629,1.12130970293193,0.240963297701426,0.796839619655298,4,550,#92FF00,18.591,64.246,193.806,45.656,134.344,2
0.324470083276629,1.12446368237434,0.241488960941828,0.799993599097709,4,600,#FFB100,18.591,64.427,193.836,45.836,134.164,2
0.324470083276629,1.12713150074142,0.241933597336341,0.80266141746479,4,650,#F60000,18.591,64.58,193.862,45.989,134.011,2
0.324470083276629,1.12927677453529,0.242291142968653,0.804806691258659,4,700,#A20000,18.591,64.703,193.882,46.112,133.888,2
0.332385554283516,1.1325811048282,0.244161109851951,0.800195550544679,4,400,#5B0088,19.044,64.892,193.989,45.848,134.152,2
0.332385554283516,1.1391563238198,0.245256979683885,0.806770769536286,4,450,#0033FF,19.044,65.269,194.052,46.225,133.775,2
0.332385554283516,1.14413382298077,0.246086562877381,0.811748268697256,4,500,#00FF80,19.044,65.554,194.1,46.51,133.49,2
0.332385554283516,1.14807003959874,0.246742598980376,0.815684485315225,4,550,#92FF00,19.044,65.78,194.137,46.735,133.265,2
0.332385554283516,1.15130279737181,0.247281391942555,0.818917243088294,4,600,#FFB100,19.044,65.965,194.168,46.921,133.079,2
0.332385554283516,1.15403726753698,0.247737136970081,0.82165171325346,4,650,#F60000,19.044,66.121,194.194,47.077,132.923,2
0.332385554283516,1.15623614907674,0.248103617226708,0.823850594793219,4,700,#A20000,19.044,66.247,194.215,47.203,132.797,2
