angIn,angOut,angRef,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angDiffDeg
0.308542567361765,-2.53288469614734,0.229312631201056,3,550,#92FF00,17.678,-145.124,193.139,162.801789992478
0.308542567361765,-2.53088746745422,0.229811938374334,3,600,#FFB100,17.678,-145.009,193.167,162.68735721764
0.308542567361765,-2.52919811555901,0.230234276348135,3,650,#F60000,17.678,-144.912,193.191,162.590564483933
0.308542567361765,-2.52783966952678,0.230573887856193,3,700,#A20000,17.678,-144.835,193.211,162.51273125959
0.334259438390582,-2.493798831375,0.245513315151345,3,400,#5B0088,19.152,-142.884,194.067,162.035803074638
0.334259438390582,-2.48939006774309,0.246615506059322,3,450,#0033FF,19.152,-142.632,194.13,161.783199525659
0.334259438390582,-2.4860525852233,0.247449876689268,3,500,#00FF80,19.152,-142.44,194.178,161.591975863076
0.334259438390582,-2.48341329145321,0.248109700131791,3,550,#92FF00,19.152,-142.289,194.216,161.440755469155
0.334259438390582,-2.48124567387901,0.248651604525342,3,600,#FFB100,19.152,-142.165,194.247,161.316560130555
0.334259438390582,-2.47941216372423,0.249109982064036,3,650,#F60000,19.152,-142.06,194.273,161.211507736991
0.334259438390582,-2.47793777335029,0.249478579657522,3,700,#A20000,19.152,-141.975,194.294,161.12703139121
0.359977591498797,-2.44545870036606,0.264027886180632,3,400,#5B0088,20.625,-140.114,195.128,160.739659216688
0.359977591498797,-2.44070195710422,0.265217071996093,3,450,#0033FF,20.625,-139.842,195.196,160.467117903557
0.359977591498797,-2.43710090616665,0.266117334730484,3,500,#00FF80,20.625,-139.636,195.247,160.260792883023
0.359977591498797,-2.4342530932563,0.266829287958073,3,550,#92FF00,20.625,-139.472,195.288,160.097625222417
0.359977591498797,-2.43191416315228,0.267414020484077,3,600,#FFB100,20.625,-139.338,195.322,159.963614398881
0.359977591498797,-2.42993570457497,0.267908635128406,3,650,#F60000,20.625,-139.225,195.35,159.850257072459
0.359977591498797,-2.4283447285414,0.268306379136798,3,700,#A20000,20.625,-139.134,195.373,159.759100860429
0.385697160181295,-2.3974622542413,0.282456889882448,3,400,#5B0088,22.099,-137.364,196.184,159.463288158516
0.385697160181295,-2.39235563812342,0.283733543911918,3,450,#0033FF,22.099,-137.072,196.257,159.170700607368
0.385697160181295,-2.38848955169308,0.284700065519502,3,500,#00FF80,22.099,-136.85,196.312,158.949190171677
0.385697160181295,-2.38543203869071,0.285464443770094,3,550,#92FF00,22.099,-136.675,196.356,158.774007580835
0.385697160181295,-2.38292081237143,0.286092250349914,3,600,#FFB100,22.099,-136.531,196.392,158.630124911338
0.385697160181295,-2.38079656356865,0.28662331255061,3,650,#F60000,22.099,-136.41,196.422,158.508414420303
0.385697160181295,-2.37908831845951,0.287050373827895,3,700,#A20000,22.099,-136.312,196.447,158.410539185175
0.411418287040084,-2.34983861678619,0.300793080960923,3,400,#5B0088,23.573,-134.636,197.234,158.208366740606
0.411418287040084,-2.34438012874615,0.302157702970932,3,450,#0033FF,23.573,-134.323,197.312,157.895618413389
0.411418287040084,-2.34024745654889,0.303190871020247,3,500,#00FF80,23.573,-134.086,197.372,157.658833738376
0.411418287040084,-2.33697899481248,0.304007986454349,3,550,#92FF00,23.573,-133.899,197.418,157.471564675379
0.411418287040084,-2.33429443173728,0.30467912722315,3,600,#FFB100,23.573,-133.745,197.457,157.317750541334
0.411418287040084,-2.3320235019201,0.305246859677446,3,650,#F60000,23.573,-133.615,197.489,157.187635847239
0.411418287040084,-2.33019726433051,0.305703419074842,3,700,#A20000,23.573,-133.51,197.516,157.083000140967
0.437141124991735,-2.3026179041306,0.319028968612733,3,400,#5B0088,25.046,-131.93,198.279,156.97662925157
0.437141124991735,-2.29680544717954,0.320482082850498,3,450,#0033FF,25.046,-131.597,198.362,156.643599999673
0.437141124991735,-2.29240456160889,0.32158230424316,3,500,#00FF80,25.046,-131.345,198.425,156.391447830354
0.437141124991735,-2.28892383936581,0.322452484803931,3,550,#92FF00,25.046,-131.146,198.475,156.192017136168
0.437141124991735,-2.28606484582949,0.323167233188009,3,600,#FFB100,25.046,-130.982,198.516,156.028208872882
0.437141124991735,-2.28364629830592,0.323771870068901,3,650,#F60000,25.046,-130.843,198.551,155.88963630723
0.437141124991735,-2.28170130729492,0.324258117821652,3,700,#A20000,25.046,-130.732,198.579,155.778196531109
0.462865838629941,-2.25583130541838,0.337156796700339,3,400,#5B0088,26.52,-129.25,199.318,155.769872128239
0.462865838629941,-2.24966269374838,0.338698949617838,3,450,#0033FF,26.52,-128.896,199.406,155.416436714093
0.462865838629941,-2.24499189662674,0.339866648898249,3,500,#00FF80,26.52,-128.629,199.473,155.148819752061
0.462865838629941,-2.24129754423812,0.340790236995405,3,550,#92FF00,26.52,-128.417,199.526,154.937148952159
0.462865838629941,-2.23826297763855,0.341548878645296,3,600,#FFB100,26.52,-128.243,199.569,154.763281093352
0.462865838629941,-2.23569583338311,0.342190664709157,3,650,#F60000,26.52,-128.096,199.606,154.616194562114
0.462865838629941,-2.23363129331675,0.342706799725747,3,700,#A20000,26.52,-127.978,199.636,154.497905129676
